Designator,Mid X,Mid Y,Rotation,Layer
J1,116.0,-97.63,90.0,top
J2,130.93,-66.565,180.0,top
SW1,130.5,-122.7,0.0,top
U1,109.6,-68.1685,0.0,top
U2,103.6,-121.99,0.0,top
U3,84.0875,-75.5975,90.0,top
U4,81.2,-124.5,0.0,top
